sourceAsset,SW0,SW1
2001,10.65.10.250,10.65.10.251
2002,10.65.11.250,10.65.11.251
2003,10.65.12.250,10.65.12.251
2004,10.65.13.250,10.65.13.251
2005,10.65.14.250,10.65.14.251
2006,10.65.15.250,10.65.15.251
2007,10.65.16.250,10.65.16.251
2008,10.65.17.250,10.65.17.251
2009,10.65.18.250,10.65.18.251
2010,10.65.19.250,10.65.19.251
2011,10.65.20.250,10.65.20.251
2012,10.65.21.250,10.65.21.251
2013,10.65.22.250,10.65.22.251
2014,10.65.23.250,10.65.23.251
3030,10.65.24.250,10.65.24.251
3039,10.65.25.250,10.65.25.251
3202,10.65.26.250,10.65.26.251
3204,10.65.27.250,10.65.27.251
3212,10.65.28.250,10.65.28.251
3217,10.65.29.250,10.65.29.251
3224,10.65.30.250,10.65.30.251
5449,10.65.31.250,10.65.31.251
5701,10.65.32.250,10.65.32.251
5704,10.65.33.250,10.65.33.251
5713,10.65.34.250,10.65.34.251
5715,10.65.35.250,10.65.35.251
5716,10.65.36.250,10.65.36.251
5726,10.65.37.250,10.65.37.251
5749,10.65.38.250,10.65.38.251
9270,10.65.39.250,10.65.39.251
9271,10.65.40.250,10.65.40.251
9272,10.65.41.250,10.65.41.251
9488,10.65.42.250,10.65.42.251
9489,10.65.43.250,10.65.43.251
9490,10.65.44.250,10.65.44.251
9501,10.65.45.250,10.65.45.251
9502,10.65.46.250,10.65.46.251
9503,10.65.47.250,10.65.47.251
9504,10.65.48.250,10.65.48.251
9505,10.65.49.250,10.65.49.251
9506,10.65.50.250,10.65.50.251
9507,10.65.51.250,10.65.51.251
9508,10.65.52.250,10.65.52.251
9509,10.65.53.250,10.65.53.251
9511,10.65.54.250,10.65.54.251
9521,10.65.55.250,10.65.55.251
9523,10.65.56.250,10.65.56.251
9525,10.65.57.250,10.65.57.251
9527,10.65.58.250,10.65.58.251
9529,10.65.59.250,10.65.59.251
9531,10.65.60.250,10.65.60.251
9541,10.65.61.250,10.65.61.251
9543,10.65.62.250,10.65.62.251
9545,10.65.63.250,10.65.63.251
9547,10.65.64.250,10.65.64.251
9549,10.65.65.250,10.65.65.251
9551,10.65.66.250,10.65.66.251
9553,10.65.67.250,10.65.67.251
9555,10.65.68.250,10.65.68.251
9557,10.65.69.250,10.65.69.251
9559,10.65.70.250,10.65.70.251
9632,10.65.71.250,10.65.71.251
